name,sn,uhv,ulv,fn,vg,vsc,psc,i0,p0,manufacturer,range,efficiency,cooling,insulation,material,oil,phases,du1,du0.8,eff1 100%,eff0.8 100%,eff1 75%,eff0.8 75%,notes
CA Yellow A0Ak 1000kVA 15.75/21kV(21) 400V Dyn11,1000000,21000,400,50,Dyn11,0.06,7600,0.0,770,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.94,4.27,99.17,98.96,99.33,99.17,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 1250kVA 15.75/21kV(21) 400V Dyn11,1250000,21000,400,50,Dyn11,0.06,9500,0.0,950,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.94,4.27,99.17,98.97,99.33,99.17,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 1600kVA 15.75/21kV(21) 400V Dyn11,1600000,21000,400,50,Dyn11,0.06,12000,0.0,1200,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.93,4.26,99.18,98.98,99.34,99.18,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 2000kVA 15.75/21kV(21) 400V Dyn11,2000000,21000,400,50,Dyn11,0.06,15000,0.0,1450,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.93,4.26,99.18,98.98,99.35,99.18,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 2500kVA 15.75/21kV(21) 400V Dyn11,2500000,21000,400,50,Dyn11,0.06,18500,0.0,1750,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.92,4.26,99.2,99.0,99.36,99.2,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 3150kVA 15.75/21kV(21) 400V Dyn11,3150000,21000,400,50,Dyn11,0.06,23000,0.0,2200,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.91,4.25,99.21,99.01,99.36,99.21,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 250kVA 15.75/21kV(15.75) 400V Dyn11,250000,15750,400,50,Dyn11,0.04,2350,0.0,300,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,1.02,3.12,98.95,98.69,99.14,98.93,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 400kVA 15.75/21kV(15.75) 400V Dyn11,400000,15750,400,50,Dyn11,0.04,3250,0.0,430,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.89,3.03,99.09,98.86,99.25,99.07,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 500kVA 15.75/21kV(15.75) 400V Dyn11,500000,15750,400,50,Dyn11,0.04,3900,0.0,510,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.86,3.01,99.13,98.91,99.28,99.11,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 630kVA 15.75/21kV(15.75) 400V Dyn11,630000,15750,400,50,Dyn11,0.04,4600,0.0,600,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.81,2.98,99.18,98.98,99.33,99.16,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 800kVA 15.75/21kV(15.75) 400V Dyn11,800000,15750,400,50,Dyn11,0.06,6000,0.0,650,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.93,4.26,99.18,98.97,99.33,99.17,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 1000kVA 15.75/21kV(15.75) 400V Dyn11,1000000,15750,400,50,Dyn11,0.06,7600,0.0,770,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.94,4.27,99.17,98.96,99.33,99.17,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 1250kVA 15.75/21kV(15.75) 400V Dyn11,1250000,15750,400,50,Dyn11,0.06,9500,0.0,950,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.94,4.27,99.17,98.97,99.33,99.17,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 1600kVA 15.75/21kV(15.75) 400V Dyn11,1600000,15750,400,50,Dyn11,0.06,12000,0.0,1200,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.93,4.26,99.18,98.98,99.34,99.18,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 2000kVA 15.75/21kV(15.75) 400V Dyn11,2000000,15750,400,50,Dyn11,0.06,15000,0.0,1450,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.93,4.26,99.18,98.98,99.35,99.18,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 2500kVA 15.75/21kV(15.75) 400V Dyn11,2500000,15750,400,50,Dyn11,0.06,18500,0.0,1750,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.92,4.26,99.2,99.0,99.36,99.2,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
CA Yellow A0Ak 3150kVA 15.75/21kV(15.75) 400V Dyn11,3150000,15750,400,50,Dyn11,0.06,23000,0.0,2200,Cahors,Yellow,A0Ak,ONAN,liquid-immersed,AL,mineral,three-phase,0.91,4.25,99.21,99.01,99.36,99.21,"missing i0, -5%,-2.5%,0%,+2.5%,+5%, TODO verify efficiency"
SC SZ11-76 MVA-110/35 kV,76000000,110000,35000,50,YNd11,0.12,299000,0.0,45000,SCOTECH,,,ONAF,liquid-immersed,CU,mineral,three-phase,,,,,,,"missing i0, tapping ±8*1.25%"
SC S11-30 MVA-132/11KV,30000000,132000,11000,50,Dyn11,0.07,38000,0.0,5400,SCOTECH,,,ONAN,liquid-immersed,CU,mineral,three-phase,,,,,,,"missing i0, tapping ±8*1.25%"
SC SFZ11-25 MVA-33/11KV,25000000,33000,11000,50,Dyn11,0.085,66500,0.0,8000,SCOTECH,,,ONAF,liquid-immersed,CU,mineral,three-phase,,,,,,,"missing i0, tapping +10% in steps of 1.25% 17 tapping (33+8x1.25%)"
SC S-100 MVA-220/35KV,100000000,220000,35000,50,YNd11,0.13,274000,0.0,61000,SCOTECH,,,ONAN,liquid-immersed,CU,mineral,three-phase,,,,,,,"missing i0, tapping ±8*1.25%"
PP 160 MVA 380/110 kV,160000000,380000,110000,50,Yy0,0.122,400000,0.0006,60000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 100 MVA 220/110 kV,100000000,220000,110000,50,Yy0,0.12,260000,0.0006,55000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 63 MVA 110/20 kV,63000000,110000,20000,50,YNd5,0.18,201600,0.0004,22000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 40 MVA 110/20 kV,40000000,110000,20000,50,YNd5,0.162,136000,0.0005,18000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 25 MVA 110/20 kV,25000000,110000,20000,50,YNd5,0.12,102500,0.0007,14000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 63 MVA 110/10 kV,63000000,110000,10000,50,YNd5,0.18,201600,0.0004,22000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 40 MVA 110/10 kV,40000000,110000,10000,50,YNd5,0.162,136000,0.0005,18000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 25 MVA 110/10 kV,25000000,110000,10000,50,YNd5,0.12,102500,0.0007,14000,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-9,max=9 of 1.5% @ HV side"
PP 0.25 MVA 20/0.4 kV,250000,20000,400,50,Yzn5,0.06,3600,0.0032,800,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PP 0.4 MVA 20/0.4 kV,400000,20000,400,50,Dyn5,0.06,5700,0.00338,1350,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PP 0.63 MVA 20/0.4 kV,630000,20000,400,50,Dyn5,0.06,7598,0.00262,1650,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PP 0.25 MVA 10/0.4 kV,250000,10000,400,50,Dyn5,0.04,3000,0.0024,600,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PP 0.4 MVA 10/0.4 kV,400000,10000,400,50,Dyn5,0.04,5300,0.00238,950,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PP 0.63 MVA 10/0.4 kV,630000,10000,400,50,Dyn5,0.04,6800,0.00187,1180,,,,,,,,three-phase,,,,,,,"pandapower (v3) stdtype, manuf unknown, tapping min=-2,max=2 of 2.5% @ HV side"
PAW 70 MVA 227/21 kV YNd11,70000000,227000,21000,50,YNd11,0.1604,288451,0.0014,37691,Pauwels,,,ONAN/ODAF,liquid-immersed,,mineral,three-phase,,,,,,,"GEG 2004 +/- 25 x %"
SE 40 MVA 62.5/21 kV YNyn0,40000000,62500,21000,50,YNyn0,0.1259,84313,0.0005,11604,Schneider Electric,,,ONAN/ODAF,liquid-immersed,,mineral,three-phase,,,,,,,"GEG 2023 +/- 8 x 1,5%"
PAW 36 MVA 62.5/21 kV YNyn0,36000000,62500,21000,50,YNyn0,0.106,142467,0.0007,19223,Pauwels,,,ONAN/ODAF,liquid-immersed,,mineral,three-phase,,,,,,,"GEG 2007 +/- 8 x 1,5%"
GBE 36 MVA 62.5/21 kV YNyn0,36000000,62500,21000,50,YNyn0,0.102,134100,0.0007,16462,GBE,,,ONAN/ODAF,liquid-immersed,,mineral,three-phase,,,,,,,"GEG 2014 +/- 8 x 1,5%"
FT 36 MVA 62.5/21 kV YNyn0,36000000,62500,21000,50,YNyn0,0.105,190000,0.0009,14000,France Transfo,,,ODAF,liquid-immersed,,mineral,three-phase,,,,,,,"GEG 1986,1986,1987,1992,1994,2000 +/- 8 x 1,5%"
