name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
U_AM_59,underground,am,am,,,59,59,0.6413078,0.6413078,0.1107443314,0.1107443314,0.0000288474,0.0000288474,193,193
U_AM_60,underground,am,am,,,60,60,0.629804,0.629804,0.1104495588,0.1104495588,0.0000289372,0.0000289372,194,194
U_AM_69,underground,am,am,,,69,69,0.5262698,0.5262698,0.1080408311,0.1080408311,0.0000296921,0.0000296921,212,212
U_AM_70,underground,am,am,,,70,70,0.514766,0.514766,0.1077971677,0.1077971677,0.0000297707,0.0000297707,214,214
U_AM_74,underground,am,am,,,74,74,0.49189784,0.49189784,0.1068637229,0.1068637229,0.0000300755,0.0000300755,220,220
U_AM_75,underground,am,am,,,75,75,0.4861808,0.4861808,0.1066400577,0.1066400577,0.0000301495,0.0000301495,222,222
U_AM_79,underground,am,am,,,79,79,0.46331264,0.46331264,0.1057809122,0.1057809122,0.0000304371,0.0000304371,228,228
U_AM_80,underground,am,am,,,80,80,0.4575956,0.4575956,0.1055745142,0.1055745142,0.000030507,0.000030507,229,229
U_AM_90,underground,am,am,,,90,90,0.4004252,0.4004252,0.1036719918,0.1036719918,0.0000311668,0.0000311668,244,244
U_AM_93,underground,am,am,,,93,93,0.38327408,0.38327408,0.1031520348,0.1031520348,0.0000313521,0.0000313521,249,249
U_AM_95,underground,am,am,,,95,95,0.37184,0.37184,0.1028168921,0.1028168921,0.0000314727,0.0000314727,252,252
U_AM_100,underground,am,am,,,100,100,0.3562692,0.3562692,0.1020162744,0.1020162744,0.0000317647,0.0000317647,260,260
U_AM_116,underground,am,am,,,116,116,0.30644264,0.30644264,0.0997578116,0.0997578116,0.0000326182,0.0000326182,285,285
U_AM_117,underground,am,am,,,117,117,0.30332848,0.30332848,0.0996298374,0.0996298374,0.000032668,0.000032668,286,286
U_AM_120,underground,am,am,,,120,120,0.293986,0.293986,0.0992540572,0.0992540572,0.0000328149,0.0000328149,291,291
U_AM_147,underground,am,am,,,147,147,0.2448334,0.2448334,0.0963323591,0.0963323591,0.0000340041,0.0000340041,322,322
U_AM_148,underground,am,am,,,148,148,0.2430129333,0.2430129333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,323,323
U_AM_150,underground,am,am,,,150,150,0.239372,0.239372,0.0960502777,0.0960502777,0.0000341234,0.0000341234,325,325
U_AM_228,underground,am,am,,,228,228,0.1551375636,0.1551375636,0.0905569282,0.0905569282,0.0000366279,0.0000366279,415,415
U_AM_240,underground,am,am,,,240,240,0.14525,0.14525,0.0899296465,0.0899296465,0.0000369374,0.0000369374,428,428
U_AM_288,underground,am,am,,,288,288,0.12201,0.12201,0.0877788677,0.0877788677,0.0000380397,0.0000380397,474,474
T_AL_12,twisted,al,al,,,12,12,2.69,2.69,0.1433737819,0.1433737819,0.0000214745,0.0000214745,64,64
T_AL_13,twisted,al,al,,,13,13,2.495,2.495,0.1415282478,0.1415282478,0.0000217895,0.0000217895,68,68
T_AL_14,twisted,al,al,,,14,14,2.3,2.3,0.1398372258,0.1398372258,0.0000220863,0.0000220863,71,71
T_AL_19,twisted,al,al,,,19,19,1.6733333333,1.6733333333,0.1330544178,0.1330544178,0.0000233629,0.0000233629,84,84
T_AL_20,twisted,al,al,,,20,20,1.5944444444,1.5944444444,0.1319453158,0.1319453158,0.0000235859,0.0000235859,86,86
T_AL_22,twisted,al,al,,,22,22,1.4366666667,1.4366666667,0.1299081697,0.1299081697,0.0000240066,0.0000240066,90,90
T_AL_25,twisted,al,al,,,25,25,1.2,1.2,0.1272251024,0.1272251024,0.0000245842,0.0000245842,97,97
T_AL_28,twisted,al,al,,,28,28,1.1004,1.1004,0.124894529,0.124894529,0.0000251089,0.0000251089,104,104
T_AL_29,twisted,al,al,,,29,29,1.0672,1.0672,0.1241821772,0.1241821772,0.0000252738,0.0000252738,106,106
T_AL_33,twisted,al,al,,,33,33,0.9344,0.9344,0.1215975746,0.1215975746,0.0000258907,0.0000258907,115,115
T_AL_34,twisted,al,al,,,34,34,0.9012,0.9012,0.1210090932,0.1210090932,0.0000260354,0.0000260354,118,118
T_AL_37,twisted,al,al,,,37,37,0.8377333333,0.8377333333,0.119360076,0.119360076,0.0000264496,0.0000264496,123,123
T_AL_38,twisted,al,al,,,38,38,0.8226,0.8226,0.1188454977,0.1188454977,0.0000265816,0.0000265816,125,125
T_AL_40,twisted,al,al,,,40,40,0.7923333333,0.7923333333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,129,129
T_AL_43,twisted,al,al,,,43,43,0.7469333333,0.7469333333,0.116495047,0.116495047,0.0000272015,0.0000272015,134,134
T_AL_48,twisted,al,al,,,48,48,0.6712666667,0.6712666667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,143,143
T_AL_50,twisted,al,al,,,50,50,0.641,0.641,0.113705448,0.113705448,0.0000279758,0.0000279758,146,146
T_AL_54,twisted,al,al,,,54,54,0.6014,0.6014,0.112315465,0.112315465,0.0000283783,0.0000283783,154,154
T_AL_55,twisted,al,al,,,55,55,0.5915,0.5915,0.1119874251,0.1119874251,0.000028475,0.000028475,156,156
T_AL_59,twisted,al,al,,,59,59,0.5519,0.5519,0.1107443314,0.1107443314,0.0000288474,0.0000288474,164,164
T_AL_60,twisted,al,al,,,60,60,0.542,0.542,0.1104495588,0.1104495588,0.0000289372,0.0000289372,166,166
T_AL_69,twisted,al,al,,,69,69,0.4529,0.4529,0.1080408311,0.1080408311,0.0000296921,0.0000296921,185,185
T_AL_70,twisted,al,al,,,70,70,0.443,0.443,0.1077971677,0.1077971677,0.0000297707,0.0000297707,187,187
T_AL_74,twisted,al,al,,,74,74,0.42332,0.42332,0.1068637229,0.1068637229,0.0000300755,0.0000300755,193,193
T_AL_75,twisted,al,al,,,75,75,0.4184,0.4184,0.1066400577,0.1066400577,0.0000301495,0.0000301495,195,195
T_AL_79,twisted,al,al,,,79,79,0.39872,0.39872,0.1057809122,0.1057809122,0.0000304371,0.0000304371,201,201
T_AL_80,twisted,al,al,,,80,80,0.3938,0.3938,0.1055745142,0.1055745142,0.000030507,0.000030507,203,203
T_AL_90,twisted,al,al,,,90,90,0.3446,0.3446,0.1036719918,0.1036719918,0.0000311668,0.0000311668,219,219
T_AL_93,twisted,al,al,,,93,93,0.32984,0.32984,0.1031520348,0.1031520348,0.0000313521,0.0000313521,224,224
T_AL_95,twisted,al,al,,,95,95,0.32,0.32,0.1028168921,0.1028168921,0.0000314727,0.0000314727,227,227
T_AL_100,twisted,al,al,,,100,100,0.3066,0.3066,0.1020162744,0.1020162744,0.0000317647,0.0000317647,234,234
T_AL_116,twisted,al,al,,,116,116,0.26372,0.26372,0.0997578116,0.0997578116,0.0000326182,0.0000326182,257,257
T_AL_117,twisted,al,al,,,117,117,0.26104,0.26104,0.0996298374,0.0996298374,0.000032668,0.000032668,259,259
T_AL_120,twisted,al,al,,,120,120,0.253,0.253,0.0992540572,0.0992540572,0.0000328149,0.0000328149,263,263
T_AL_147,twisted,al,al,,,147,147,0.2107,0.2107,0.0963323591,0.0963323591,0.0000340041,0.0000340041,300,300
T_AL_148,twisted,al,al,,,148,148,0.2091333333,0.2091333333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,301,301
T_AL_150,twisted,al,al,,,150,150,0.206,0.206,0.0960502777,0.0960502777,0.0000341234,0.0000341234,304,304
T_AL_228,twisted,al,al,,,228,228,0.1335090909,0.1335090909,0.0905569282,0.0905569282,0.0000366279,0.0000366279,395,395
T_AL_240,twisted,al,al,,,240,240,0.125,0.125,0.0899296465,0.0899296465,0.0000369374,0.0000369374,409,409
T_AL_288,twisted,al,al,,,288,288,0.105,0.105,0.0877788677,0.0877788677,0.0000380397,0.0000380397,459,459
T_CU_3,twisted,cu,cu,,,3,3,6.4766666667,6.4766666667,0.1780965781,0.1780965781,0.0000168827,0.0000168827,35,35
T_CU_7,twisted,cu,cu,,,7,7,2.7675,2.7675,0.1562894945,0.1562894945,0.0000195015,0.0000195015,59,59
T_CU_12,twisted,cu,cu,,,12,12,1.6033333333,1.6033333333,0.1433737819,0.1433737819,0.0000214745,0.0000214745,83,83
T_CU_13,twisted,cu,cu,,,13,13,1.49,1.49,0.1415282478,0.1415282478,0.0000217895,0.0000217895,88,88
T_CU_14,twisted,cu,cu,,,14,14,1.3766666667,1.3766666667,0.1398372258,0.1398372258,0.0000220863,0.0000220863,92,92
T_CU_19,twisted,cu,cu,,,19,19,1.009,1.009,0.1330544178,0.1330544178,0.0000233629,0.0000233629,109,109
T_CU_20,twisted,cu,cu,,,20,20,0.962,0.962,0.1319453158,0.1319453158,0.0000235859,0.0000235859,112,112
T_CU_22,twisted,cu,cu,,,22,22,0.868,0.868,0.1299081697,0.1299081697,0.0000240066,0.0000240066,118,118
T_CU_25,twisted,cu,cu,,,25,25,0.727,0.727,0.1272251024,0.1272251024,0.0000245842,0.0000245842,127,127
T_CU_28,twisted,cu,cu,,,28,28,0.6661,0.6661,0.124894529,0.124894529,0.0000251089,0.0000251089,136,136
T_CU_29,twisted,cu,cu,,,29,29,0.6458,0.6458,0.1241821772,0.1241821772,0.0000252738,0.0000252738,139,139
T_CU_33,twisted,cu,cu,,,33,33,0.5646,0.5646,0.1215975746,0.1215975746,0.0000258907,0.0000258907,152,152
T_CU_34,twisted,cu,cu,,,34,34,0.5443,0.5443,0.1210090932,0.1210090932,0.0000260354,0.0000260354,155,155
T_CU_37,twisted,cu,cu,,,37,37,0.5057333333,0.5057333333,0.119360076,0.119360076,0.0000264496,0.0000264496,163,163
T_CU_38,twisted,cu,cu,,,38,38,0.4966,0.4966,0.1188454977,0.1188454977,0.0000265816,0.0000265816,165,165
T_CU_40,twisted,cu,cu,,,40,40,0.4783333333,0.4783333333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,169,169
T_CU_43,twisted,cu,cu,,,43,43,0.4509333333,0.4509333333,0.116495047,0.116495047,0.0000272015,0.0000272015,176,176
T_CU_48,twisted,cu,cu,,,48,48,0.4052666667,0.4052666667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,187,187
T_CU_50,twisted,cu,cu,,,50,50,0.387,0.387,0.113705448,0.113705448,0.0000279758,0.0000279758,192,192
T_CU_54,twisted,cu,cu,,,54,54,0.3632,0.3632,0.112315465,0.112315465,0.0000283783,0.0000283783,203,203
T_CU_55,twisted,cu,cu,,,55,55,0.35725,0.35725,0.1119874251,0.1119874251,0.000028475,0.000028475,206,206
T_CU_59,twisted,cu,cu,,,59,59,0.33345,0.33345,0.1107443314,0.1107443314,0.0000288474,0.0000288474,216,216
T_CU_60,twisted,cu,cu,,,60,60,0.3275,0.3275,0.1104495588,0.1104495588,0.0000289372,0.0000289372,219,219
T_CU_69,twisted,cu,cu,,,69,69,0.27395,0.27395,0.1080408311,0.1080408311,0.0000296921,0.0000296921,243,243
T_CU_70,twisted,cu,cu,,,70,70,0.268,0.268,0.1077971677,0.1077971677,0.0000297707,0.0000297707,246,246
T_CU_74,twisted,cu,cu,,,74,74,0.256,0.256,0.1068637229,0.1068637229,0.0000300755,0.0000300755,254,254
T_CU_75,twisted,cu,cu,,,75,75,0.253,0.253,0.1066400577,0.1066400577,0.0000301495,0.0000301495,256,256
T_CU_79,twisted,cu,cu,,,79,79,0.241,0.241,0.1057809122,0.1057809122,0.0000304371,0.0000304371,265,265
T_CU_80,twisted,cu,cu,,,80,80,0.238,0.238,0.1055745142,0.1055745142,0.000030507,0.000030507,267,267
T_CU_90,twisted,cu,cu,,,90,90,0.208,0.208,0.1036719918,0.1036719918,0.0000311668,0.0000311668,288,288
T_CU_93,twisted,cu,cu,,,93,93,0.199,0.199,0.1031520348,0.1031520348,0.0000313521,0.0000313521,294,294
T_CU_95,twisted,cu,cu,,,95,95,0.193,0.193,0.1028168921,0.1028168921,0.0000314727,0.0000314727,298,298
T_CU_100,twisted,cu,cu,,,100,100,0.185,0.185,0.1020162744,0.1020162744,0.0000317647,0.0000317647,308,308
T_CU_116,twisted,cu,cu,,,116,116,0.1594,0.1594,0.0997578116,0.0997578116,0.0000326182,0.0000326182,338,338
T_CU_117,twisted,cu,cu,,,117,117,0.1578,0.1578,0.0996298374,0.0996298374,0.000032668,0.000032668,340,340
T_CU_120,twisted,cu,cu,,,120,120,0.153,0.153,0.0992540572,0.0992540572,0.0000328149,0.0000328149,346,346
T_CU_147,twisted,cu,cu,,,147,147,0.1269,0.1269,0.0963323591,0.0963323591,0.0000340041,0.0000340041,394,394
T_CU_148,twisted,cu,cu,,,148,148,0.1259333333,0.1259333333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,395,395
T_CU_150,twisted,cu,cu,,,150,150,0.124,0.124,0.0960502777,0.0960502777,0.0000341234,0.0000341234,399,399
T_CU_228,twisted,cu,cu,,,228,228,0.0826272727,0.0826272727,0.0905569282,0.0905569282,0.0000366279,0.0000366279,520,520
T_CU_240,twisted,cu,cu,,,240,240,0.0775,0.0775,0.0899296465,0.0899296465,0.0000369374,0.0000369374,538,538
T_CU_288,twisted,cu,cu,,,288,288,0.0651,0.0651,0.0877788677,0.0877788677,0.0000380397,0.0000380397,604,604
T_AM_12,twisted,am,am,,,12,12,3.12578,3.12578,0.1433737819,0.1433737819,0.0000214745,0.0000214745,64,64
T_AM_13,twisted,am,am,,,13,13,2.89919,2.89919,0.1415282478,0.1415282478,0.0000217895,0.0000217895,68,68
T_AM_14,twisted,am,am,,,14,14,2.6726,2.6726,0.1398372258,0.1398372258,0.0000220863,0.0000220863,71,71
T_AM_19,twisted,am,am,,,19,19,1.9444133333,1.9444133333,0.1330544178,0.1330544178,0.0000233629,0.0000233629,84,84
T_AM_20,twisted,am,am,,,20,20,1.8527444444,1.8527444444,0.1319453158,0.1319453158,0.0000235859,0.0000235859,86,86
T_AM_22,twisted,am,am,,,22,22,1.6694066667,1.6694066667,0.1299081697,0.1299081697,0.0000240066,0.0000240066,90,90
T_AM_25,twisted,am,am,,,25,25,1.3944,1.3944,0.1272251024,0.1272251024,0.0000245842,0.0000245842,97,97
T_AM_28,twisted,am,am,,,28,28,1.2786648,1.2786648,0.124894529,0.124894529,0.0000251089,0.0000251089,104,104
T_AM_29,twisted,am,am,,,29,29,1.2400864,1.2400864,0.1241821772,0.1241821772,0.0000252738,0.0000252738,106,106
T_AM_33,twisted,am,am,,,33,33,1.0857728,1.0857728,0.1215975746,0.1215975746,0.0000258907,0.0000258907,115,115
T_AM_34,twisted,am,am,,,34,34,1.0471944,1.0471944,0.1210090932,0.1210090932,0.0000260354,0.0000260354,118,118
T_AM_37,twisted,am,am,,,37,37,0.9734461333,0.9734461333,0.119360076,0.119360076,0.0000264496,0.0000264496,123,123
T_AM_38,twisted,am,am,,,38,38,0.9558612,0.9558612,0.1188454977,0.1188454977,0.0000265816,0.0000265816,125,125
T_AM_40,twisted,am,am,,,40,40,0.9206913333,0.9206913333,0.1178632261,0.1178632261,0.0000268372,0.0000268372,129,129
T_AM_43,twisted,am,am,,,43,43,0.8679365333,0.8679365333,0.116495047,0.116495047,0.0000272015,0.0000272015,134,134
T_AM_48,twisted,am,am,,,48,48,0.7800118667,0.7800118667,0.1144519385,0.1144519385,0.0000277643,0.0000277643,143,143
T_AM_50,twisted,am,am,,,50,50,0.744842,0.744842,0.113705448,0.113705448,0.0000279758,0.0000279758,146,146
T_AM_54,twisted,am,am,,,54,54,0.6988268,0.6988268,0.112315465,0.112315465,0.0000283783,0.0000283783,154,154
T_AM_55,twisted,am,am,,,55,55,0.687323,0.687323,0.1119874251,0.1119874251,0.000028475,0.000028475,156,156
T_AM_59,twisted,am,am,,,59,59,0.6413078,0.6413078,0.1107443314,0.1107443314,0.0000288474,0.0000288474,164,164
T_AM_60,twisted,am,am,,,60,60,0.629804,0.629804,0.1104495588,0.1104495588,0.0000289372,0.0000289372,166,166
T_AM_69,twisted,am,am,,,69,69,0.5262698,0.5262698,0.1080408311,0.1080408311,0.0000296921,0.0000296921,185,185
T_AM_70,twisted,am,am,,,70,70,0.514766,0.514766,0.1077971677,0.1077971677,0.0000297707,0.0000297707,187,187
T_AM_74,twisted,am,am,,,74,74,0.49189784,0.49189784,0.1068637229,0.1068637229,0.0000300755,0.0000300755,193,193
T_AM_75,twisted,am,am,,,75,75,0.4861808,0.4861808,0.1066400577,0.1066400577,0.0000301495,0.0000301495,195,195
T_AM_79,twisted,am,am,,,79,79,0.46331264,0.46331264,0.1057809122,0.1057809122,0.0000304371,0.0000304371,201,201
T_AM_80,twisted,am,am,,,80,80,0.4575956,0.4575956,0.1055745142,0.1055745142,0.000030507,0.000030507,203,203
T_AM_90,twisted,am,am,,,90,90,0.4004252,0.4004252,0.1036719918,0.1036719918,0.0000311668,0.0000311668,219,219
T_AM_93,twisted,am,am,,,93,93,0.38327408,0.38327408,0.1031520348,0.1031520348,0.0000313521,0.0000313521,224,224
T_AM_95,twisted,am,am,,,95,95,0.37184,0.37184,0.1028168921,0.1028168921,0.0000314727,0.0000314727,227,227
T_AM_100,twisted,am,am,,,100,100,0.3562692,0.3562692,0.1020162744,0.1020162744,0.0000317647,0.0000317647,234,234
T_AM_116,twisted,am,am,,,116,116,0.30644264,0.30644264,0.0997578116,0.0997578116,0.0000326182,0.0000326182,257,257
T_AM_117,twisted,am,am,,,117,117,0.30332848,0.30332848,0.0996298374,0.0996298374,0.000032668,0.000032668,259,259
T_AM_120,twisted,am,am,,,120,120,0.293986,0.293986,0.0992540572,0.0992540572,0.0000328149,0.0000328149,263,263
T_AM_147,twisted,am,am,,,147,147,0.2448334,0.2448334,0.0963323591,0.0963323591,0.0000340041,0.0000340041,300,300
T_AM_148,twisted,am,am,,,148,148,0.2430129333,0.2430129333,0.0962375209,0.0962375209,0.0000340441,0.0000340441,301,301
T_AM_150,twisted,am,am,,,150,150,0.239372,0.239372,0.0960502777,0.0960502777,0.0000341234,0.0000341234,304,304
T_AM_228,twisted,am,am,,,228,228,0.1551375636,0.1551375636,0.0905569282,0.0905569282,0.0000366279,0.0000366279,395,395
T_AM_240,twisted,am,am,,,240,240,0.14525,0.14525,0.0899296465,0.0899296465,0.0000369374,0.0000369374,409,409
T_AM_288,twisted,am,am,,,288,288,0.12201,0.12201,0.0877788677,0.0877788677,0.0000380397,0.0000380397,459,459
