name,type,material,material_neutral,insulator,insulator_neutral,section,section_neutral,resistance,resistance_neutral,reactance,reactance_neutral,susceptance,susceptance_neutral,ampacity,ampacity_neutral
O_CU_28,overhead,cu,cu,,,28,28,0.6661,0.6661,0.3810134861,0.3810134861,0.0000030019,0.0000030019,167,167
O_CU_29,overhead,cu,cu,,,29,29,0.6458,0.6458,0.3799110598,0.3799110598,0.000003011,0.000003011,170,170
O_CU_33,overhead,cu,cu,,,33,33,0.5646,0.5646,0.3758517535,0.3758517535,0.000003045,0.000003045,183,183
O_CU_34,overhead,cu,cu,,,34,34,0.5443,0.5443,0.374913895,0.374913895,0.0000030529,0.0000030529,187,187
O_CU_37,overhead,cu,cu,,,37,37,0.5057333333,0.5057333333,0.3722574463,0.3722574463,0.0000030757,0.0000030757,196,196
O_CU_38,overhead,cu,cu,,,38,38,0.4966,0.4966,0.3714196387,0.3714196387,0.0000030829,0.0000030829,199,199
O_CU_40,overhead,cu,cu,,,40,40,0.4783333333,0.4783333333,0.3698082123,0.3698082123,0.0000030969,0.0000030969,204,204
O_CU_43,overhead,cu,cu,,,43,43,0.4509333333,0.4509333333,0.3675361917,0.3675361917,0.0000031169,0.0000031169,213,213
O_CU_48,overhead,cu,cu,,,48,48,0.4052666667,0.4052666667,0.3640804116,0.3640804116,0.0000031478,0.0000031478,227,227
O_CU_50,overhead,cu,cu,,,50,50,0.387,0.387,0.3627979509,0.3627979509,0.0000031595,0.0000031595,233,233
O_CU_54,overhead,cu,cu,,,54,54,0.3632,0.3632,0.3603801484,0.3603801484,0.0000031816,0.0000031816,245,245
O_CU_55,overhead,cu,cu,,,55,55,0.35725,0.35725,0.3598036933,0.3598036933,0.000003187,0.000003187,248,248
O_CU_59,overhead,cu,cu,,,59,59,0.33345,0.33345,0.3575981614,0.3575981614,0.0000032075,0.0000032075,260,260
O_CU_60,overhead,cu,cu,,,60,60,0.3275,0.3275,0.3570701502,0.3570701502,0.0000032125,0.0000032125,262,262
O_CU_69,overhead,cu,cu,,,69,69,0.27395,0.27395,0.3526793993,0.3526793993,0.0000032543,0.0000032543,289,289
O_CU_70,overhead,cu,cu,,,70,70,0.268,0.268,0.3522273638,0.3522273638,0.0000032587,0.0000032587,292,292
O_CU_74,overhead,cu,cu,,,74,74,0.256,0.256,0.3504815854,0.3504815854,0.0000032757,0.0000032757,302,302
O_CU_75,overhead,cu,cu,,,75,75,0.253,0.253,0.3500598888,0.3500598888,0.0000032798,0.0000032798,305,305
O_CU_79,overhead,cu,cu,,,79,79,0.241,0.241,0.3484275255,0.3484275255,0.0000032959,0.0000032959,315,315
O_CU_80,overhead,cu,cu,,,80,80,0.238,0.238,0.3480323514,0.3480323514,0.0000032999,0.0000032999,318,318
O_CU_90,overhead,cu,cu,,,90,90,0.208,0.208,0.3443320882,0.3443320882,0.000003337,0.000003337,343,343
O_CU_93,overhead,cu,cu,,,93,93,0.199,0.199,0.3433019655,0.3433019655,0.0000033475,0.0000033475,351,351
O_CU_95,overhead,cu,cu,,,95,95,0.193,0.193,0.3426335163,0.3426335163,0.0000033543,0.0000033543,356,356
O_CU_100,overhead,cu,cu,,,100,100,0.185,0.185,0.3410220899,0.3410220899,0.000003371,0.000003371,367,367
O_CU_116,overhead,cu,cu,,,116,116,0.1594,0.1594,0.336359338,0.336359338,0.00000342,0.00000342,401,401
O_CU_117,overhead,cu,cu,,,117,117,0.1578,0.1578,0.3360896717,0.3360896717,0.0000034229,0.0000034229,403,403
O_CU_120,overhead,cu,cu,,,120,120,0.153,0.153,0.3352942893,0.3352942893,0.0000034314,0.0000034314,409,409
O_CU_147,overhead,cu,cu,,,147,147,0.1269,0.1269,0.3289187147,0.3289187147,0.0000035012,0.0000035012,459,459
O_CU_148,overhead,cu,cu,,,148,148,0.1259333333,0.1259333333,0.3287057245,0.3287057245,0.0000035036,0.0000035036,461,461
O_CU_150,overhead,cu,cu,,,150,150,0.124,0.124,0.3282840279,0.3282840279,0.0000035083,0.0000035083,465,465
O_CU_228,overhead,cu,cu,,,228,228,0.0826272727,0.0826272727,0.3151298548,0.3151298548,0.0000036625,0.0000036625,609,609
O_CU_240,overhead,cu,cu,,,240,240,0.0775,0.0775,0.3135184284,0.3135184284,0.0000036823,0.0000036823,630,630
O_CU_288,overhead,cu,cu,,,288,288,0.0651,0.0651,0.3077906278,0.3077906278,0.0000037545,0.0000037545,705,705
O_AM_12,overhead,am,am,,,12,12,3.12578,3.12578,0.4076321335,0.4076321335,0.000002798,0.000002798,70,70
O_AM_13,overhead,am,am,,,13,13,2.89919,2.89919,0.4051175176,0.4051175176,0.0000028161,0.0000028161,76,76
O_AM_14,overhead,am,am,,,14,14,2.6726,2.6726,0.402789347,0.402789347,0.0000028331,0.0000028331,82,82
O_AM_19,overhead,am,am,,,19,19,1.9444133333,1.9444133333,0.3931954996,0.3931954996,0.0000029051,0.0000029051,103,103
O_AM_20,overhead,am,am,,,20,20,1.8527444444,1.8527444444,0.3915840732,0.3915840732,0.0000029175,0.0000029175,106,106
O_AM_22,overhead,am,am,,,22,22,1.6694066667,1.6694066667,0.3885898156,0.3885898156,0.0000029409,0.0000029409,113,113
O_AM_25,overhead,am,am,,,25,25,1.3944,1.3944,0.3845738118,0.3845738118,0.000002973,0.000002973,122,122
